,pcstrip,Year,NUMBER_OF_PATIENTS,SHA,PCT,oseast1m,osnrth1m,lsoa11,msoa11,ru11ind,rgn,laua,imd,depression_perc,alzheimers_perc,blood pressure_perc,hypertension_perc,diabeties_perc,cardiovascular disease_perc,insomnia_perc,addiction_perc,social anxiety_perc,loneliness_perc,depression_zscore,alzheimers_zscore,blood pressure_zscore,hypertension_zscore,diabeties_zscore,cardiovascular disease_zscore,insomnia_zscore,addiction_zscore,social anxiety_zscore,loneliness_zscore,loneills
0,AL100BS,2018,801.0,Q58,06K,522443.0,208996.0,E01023927,E02004990,C1,E12000006,E07000241,1.0,5.794206807933979,0.2496469801346113,9.18895422414282,9.40220644171758,2.0228940198524064,6.314991033450327,0.31400531953944083,0.0,0.05466502972555084,24.097950602628345,-0.13114857556681836,0.22103949148703758,0.17899708555189045,0.24686929299506757,0.17287378059280395,-0.12397495406803043,-0.4647208981032867,-0.07757956823376304,-0.3248303311075857,-0.0012780722730988353,-0.5303705885293486
1,AL100NL,2018,1068.75,Q58,06K,522442.0,208808.0,E01023920,E02004991,C1,E12000006,E07000241,-116.0,5.833147935944649,0.22117815753745293,8.63054894700012,8.706191954066083,2.0283289802585016,6.207552886033593,0.5397960931648121,0.0,0.09456222408820142,23.536196007005092,-0.10876672357488533,0.03064626447296533,-0.14764877692232906,-0.15828136398156015,0.17930577960244543,-0.21123751407956037,0.12190918953616584,-0.07757956823376304,-0.05227426110501969,-0.21530333684925146,-0.24434646288609707
2,AL108HP,2018,917.3333333333334,Q58,06K,522445.0,208444.0,E01023922,E02004991,C1,E12000006,E07000241,24.0,5.326415083147546,0.18993735658767877,9.967625984684537,10.159329027089877,2.101235159272716,7.133901795016551,0.14982096059217181,0.0005480653293872629,0.0701039944855834,25.06118744703593,-0.4000171390134707,-0.1782853443785191,0.6344904686157984,0.6875910284153545,0.26558653165544427,0.5411542499760259,-0.8912905197569553,-0.07667291175616354,-0.21935966764053622,0.3657096160876984,-1.0780345541302903
3,AL13FY,2018,466.1111111111111,Q58,06N,515627.0,206743.0,E01023729,E02004935,C1,E12000006,E07000240,-110.0,3.771574518079379,0.012044760539500352,12.621380767201533,12.764595345434948,4.422396060479777,8.393302892066325,0.11981427712449493,0.0,0.017944068732631355,29.483727853724425,-1.2936792689053906,-1.3679919192793082,2.186836148738783,2.2041188869634682,3.0125623147796095,1.5640550208131752,-0.9692512932189344,-0.07757956823376304,-0.5756880912792396,2.0506720320872924,-2.0800712539531676
4,AL13HD,2018,1741.75,Q58,06N,515076.0,207747.0,E01023676,E02004934,C1,E12000006,E07000240,-99.0,5.7231629171625364,0.4781436260231378,8.406981374853936,8.497206600154838,1.7546798581179723,5.983904263439456,0.2999466733822655,0.005569525293087826,0.05155219191183241,22.742613463573292,-0.1719818520898251,1.7491748270506053,-0.27842730895668044,-0.2799319257699088,-0.14454402813915246,-0.39288762458376614,-0.5012468583755142,-0.06836598380619531,-0.3460955567610647,-0.5176537139433034,0.3815526502480974
5,AL13JB,2018,1568.3333333333333,Q58,06N,514829.0,207213.0,E01023727,E02004935,C1,E12000006,E07000240,16.0,6.175675724852873,0.24331885027387876,8.4993392482762,8.701546464250729,2.101731173317623,5.277893154945497,0.6240892369386754,0.028151486399481274,0.06550841693600253,23.152406090978758,0.08810498164041632,0.1787183501389144,-0.22440146347279055,-0.16098550776600895,0.2661735390312538,-0.9663183678075182,0.3409123557218277,-0.031008975040650234,-0.2507541698433866,-0.3615250837814015,0.1649870348511126
6,AL14JE,2018,0.0,Q58,06N,515904.0,207232.0,E01023676,E02004934,C1,E12000006,E07000240,-99.0,3.851953852924105,0.025957685575884765,10.670367106251069,10.925693439898543,3.586608835560519,7.639870092994872,0.1273164059599929,0.0,0.04226861267547796,26.15740031291392,-1.2474803407384476,-1.2749453352190838,1.045567313957895,1.1336924398681674,2.0234506743483784,0.9521078081661777,-0.9497599099990308,-0.07757956823376304,-0.4095159529227283,0.7833604025330102,-2.825588667244886
7,AL21ES,2018,343.75,Q58,06N,517363.0,204271.0,E01033028,E02004941,C1,E12000006,E07000240,33.0,3.835543101722219,0.24083790436366878,10.547696409365358,10.582718234221907,2.5517548012780575,6.979442062939213,0.06096408277078267,0.0,0.055545700925590163,24.251260187295845,-1.2569126048571553,0.16212632929645812,0.9738096189203768,0.9340462652957776,0.798753597224607,0.41570019139585884,-1.122150785598537,-0.07757956823376304,-0.31881406141540236,0.05713199624466309,-1.679284425512622
8,AL21EU,2018,990.4444444444445,Q58,06N,517613.0,204428.0,E01023705,E02004941,C1,E12000006,E07000240,-110.0,5.136901982259884,0.2086741088810528,7.618083045718574,7.726615940872177,2.129279340335869,5.65375683919958,0.49318238451994845,0.0,0.04242145191116061,21.34841059606851,-0.5089419285942371,-0.05297806408183135,-0.7399028459420488,-0.728493439082471,0.29877539253879387,-0.66103734712726,0.0008014775226239569,-0.07757956823376304,-0.40847183786438085,-1.0488369742412988,-1.7756633603340595
9,AL23JX,2018,1050.8333333333333,Q58,06N,513666.0,205184.0,E01023718,E02004942,C1,E12000006,E07000240,106.0,4.848030173080127,0.22116445656796915,9.204870644154944,9.308839866431747,1.5803549959683203,6.6949016664200025,0.3342246939186937,0.0,0.06897580310537978,22.98751585238686,-0.6749742550315116,0.03055463540104516,0.18830758628527342,0.1925205258532352,-0.35084862963081564,0.18459304720198252,-0.41218866583503605,-0.07757956823376304,-0.22706686143476773,-0.4243473147263959,-1.168734189280798
