,Middle Layer Super Output Areas Code,age,Count
0,W02000001,0-10,943
1,W02000001,10-20,810
2,W02000001,20-30,807
3,W02000001,30-40,795
4,W02000001,40-50,887
5,W02000001,50-60,1369
6,W02000001,60-70,1337
7,W02000001,70-80,1043
8,W02000001,80-90,364
9,W02000001,90-100,47
10,W02000002,0-10,604
11,W02000002,10-20,510
12,W02000002,20-30,473
13,W02000002,30-40,556
14,W02000002,40-50,614
15,W02000002,50-60,1024
16,W02000002,60-70,1087
17,W02000002,70-80,1044
18,W02000002,80-90,399
19,W02000002,90-100,56
20,W02000003,0-10,1556
21,W02000003,10-20,1352
22,W02000003,20-30,1273
23,W02000003,30-40,1336
24,W02000003,40-50,1293
25,W02000003,50-60,1396
26,W02000003,60-70,1116
27,W02000003,70-80,906
28,W02000003,80-90,349
29,W02000003,90-100,56
30,W02000004,0-10,714
31,W02000004,10-20,735
32,W02000004,20-30,626
33,W02000004,30-40,635
34,W02000004,40-50,851
35,W02000004,50-60,1145
36,W02000004,60-70,1135
37,W02000004,70-80,1067
38,W02000004,80-90,416
39,W02000004,90-100,77
40,W02000005,0-10,689
41,W02000005,10-20,747
42,W02000005,20-30,601
43,W02000005,30-40,681
44,W02000005,40-50,892
45,W02000005,50-60,1218
46,W02000005,60-70,1362
47,W02000005,70-80,1283
48,W02000005,80-90,578
49,W02000005,90-100,114
50,W02000006,0-10,1008
51,W02000006,10-20,838
52,W02000006,20-30,732
53,W02000006,30-40,824
54,W02000006,40-50,857
55,W02000006,50-60,905
56,W02000006,60-70,893
57,W02000006,70-80,633
58,W02000006,80-90,305
59,W02000006,90-100,47
60,W02000007,0-10,893
61,W02000007,10-20,711
62,W02000007,20-30,754
63,W02000007,30-40,817
64,W02000007,40-50,819
65,W02000007,50-60,1013
66,W02000007,60-70,823
67,W02000007,70-80,696
68,W02000007,80-90,303
69,W02000007,90-100,65
70,W02000008,0-10,563
71,W02000008,10-20,560
72,W02000008,20-30,627
73,W02000008,30-40,656
74,W02000008,40-50,660
75,W02000008,50-60,871
76,W02000008,60-70,825
77,W02000008,70-80,717
78,W02000008,80-90,363
79,W02000008,90-100,109
80,W02000009,0-10,923
81,W02000009,10-20,801
82,W02000009,20-30,733
83,W02000009,30-40,799
84,W02000009,40-50,937
85,W02000009,50-60,1261
86,W02000009,60-70,1143
87,W02000009,70-80,952
88,W02000009,80-90,407
89,W02000009,90-100,79
90,W02000010,0-10,522
91,W02000010,10-20,2586
92,W02000010,20-30,2944
93,W02000010,30-40,681
94,W02000010,40-50,432
95,W02000010,50-60,548
96,W02000010,60-70,387
97,W02000010,70-80,346
98,W02000010,80-90,145
99,W02000010,90-100,35
100,W02000011,0-10,1177
101,W02000011,10-20,1143
102,W02000011,20-30,1287
103,W02000011,30-40,1067
104,W02000011,40-50,989
105,W02000011,50-60,1059
106,W02000011,60-70,731
107,W02000011,70-80,584
108,W02000011,80-90,273
109,W02000011,90-100,66
110,W02000012,0-10,1033
111,W02000012,10-20,928
112,W02000012,20-30,882
113,W02000012,30-40,1046
114,W02000012,40-50,1105
115,W02000012,50-60,1224
116,W02000012,60-70,965
117,W02000012,70-80,699
118,W02000012,80-90,267
119,W02000012,90-100,54
120,W02000013,0-10,772
121,W02000013,10-20,713
122,W02000013,20-30,723
123,W02000013,30-40,817
124,W02000013,40-50,869
125,W02000013,50-60,839
126,W02000013,60-70,764
127,W02000013,70-80,608
128,W02000013,80-90,268
129,W02000013,90-100,55
130,W02000014,0-10,738
131,W02000014,10-20,775
132,W02000014,20-30,794
133,W02000014,30-40,794
134,W02000014,40-50,898
135,W02000014,50-60,1089
136,W02000014,60-70,727
137,W02000014,70-80,634
138,W02000014,80-90,243
139,W02000014,90-100,42
140,W02000015,0-10,1215
141,W02000015,10-20,996
142,W02000015,20-30,1099
143,W02000015,30-40,1107
144,W02000015,40-50,924
145,W02000015,50-60,1091
146,W02000015,60-70,900
147,W02000015,70-80,750
148,W02000015,80-90,351
149,W02000015,90-100,83
150,W02000016,0-10,755
151,W02000016,10-20,680
152,W02000016,20-30,712
153,W02000016,30-40,706
154,W02000016,40-50,733
155,W02000016,50-60,947
