,Middle Layer Super Output Areas Code,Middle Layer Super Output Areas Label,Marital and civil partnership status (12 categories) Code,Marital and civil partnership status (12 categories) Label,Count
82272,W02000001,Isle of Anglesey 001,-8,Does not apply,1352
82273,W02000001,Isle of Anglesey 001,1,Never married and never registered a civil partnership,2284
82274,W02000001,Isle of Anglesey 001,2,Married: Opposite sex,3315
82275,W02000001,Isle of Anglesey 001,3,Married: Same sex,4
82276,W02000001,Isle of Anglesey 001,4,In a registered civil partnership: Opposite sex,4
82277,W02000001,Isle of Anglesey 001,5,In a registered civil partnership: Same sex,13
82278,W02000001,Isle of Anglesey 001,6,"Separated, but still married",149
82279,W02000001,Isle of Anglesey 001,7,"Separated, but still in a registered civil partnership",1
82280,W02000001,Isle of Anglesey 001,8,Divorced,785
82281,W02000001,Isle of Anglesey 001,9,Formerly in a civil partnership now legally dissolved,2
82282,W02000001,Isle of Anglesey 001,10,Widowed,495
82283,W02000001,Isle of Anglesey 001,11,Surviving partner from civil partnership,0
82284,W02000002,Isle of Anglesey 002,-8,Does not apply,884
82285,W02000002,Isle of Anglesey 002,1,Never married and never registered a civil partnership,1408
82286,W02000002,Isle of Anglesey 002,2,Married: Opposite sex,2922
82287,W02000002,Isle of Anglesey 002,3,Married: Same sex,3
82288,W02000002,Isle of Anglesey 002,4,In a registered civil partnership: Opposite sex,10
82289,W02000002,Isle of Anglesey 002,5,In a registered civil partnership: Same sex,12
82290,W02000002,Isle of Anglesey 002,6,"Separated, but still married",81
82291,W02000002,Isle of Anglesey 002,7,"Separated, but still in a registered civil partnership",0
82292,W02000002,Isle of Anglesey 002,8,Divorced,523
82293,W02000002,Isle of Anglesey 002,9,Formerly in a civil partnership now legally dissolved,0
82294,W02000002,Isle of Anglesey 002,10,Widowed,519
82295,W02000002,Isle of Anglesey 002,11,Surviving partner from civil partnership,1
82296,W02000003,Isle of Anglesey 003,-8,Does not apply,2319
82297,W02000003,Isle of Anglesey 003,1,Never married and never registered a civil partnership,3636
82298,W02000003,Isle of Anglesey 003,2,Married: Opposite sex,2840
82299,W02000003,Isle of Anglesey 003,3,Married: Same sex,21
82300,W02000003,Isle of Anglesey 003,4,In a registered civil partnership: Opposite sex,1
82301,W02000003,Isle of Anglesey 003,5,In a registered civil partnership: Same sex,6
82302,W02000003,Isle of Anglesey 003,6,"Separated, but still married",204
82303,W02000003,Isle of Anglesey 003,7,"Separated, but still in a registered civil partnership",1
82304,W02000003,Isle of Anglesey 003,8,Divorced,1005
82305,W02000003,Isle of Anglesey 003,9,Formerly in a civil partnership now legally dissolved,1
82306,W02000003,Isle of Anglesey 003,10,Widowed,597
82307,W02000003,Isle of Anglesey 003,11,Surviving partner from civil partnership,0
82308,W02000004,Isle of Anglesey 004,-8,Does not apply,1103
82309,W02000004,Isle of Anglesey 004,1,Never married and never registered a civil partnership,1776
82310,W02000004,Isle of Anglesey 004,2,Married: Opposite sex,3203
82311,W02000004,Isle of Anglesey 004,3,Married: Same sex,12
82312,W02000004,Isle of Anglesey 004,4,In a registered civil partnership: Opposite sex,4
82313,W02000004,Isle of Anglesey 004,5,In a registered civil partnership: Same sex,8
82314,W02000004,Isle of Anglesey 004,6,"Separated, but still married",125
82315,W02000004,Isle of Anglesey 004,7,"Separated, but still in a registered civil partnership",1
82316,W02000004,Isle of Anglesey 004,8,Divorced,607
82317,W02000004,Isle of Anglesey 004,9,Formerly in a civil partnership now legally dissolved,1
82318,W02000004,Isle of Anglesey 004,10,Widowed,559
82319,W02000004,Isle of Anglesey 004,11,Surviving partner from civil partnership,1
82320,W02000005,Isle of Anglesey 005,-8,Does not apply,1097
82321,W02000005,Isle of Anglesey 005,1,Never married and never registered a civil partnership,1929
82322,W02000005,Isle of Anglesey 005,2,Married: Opposite sex,3637
82323,W02000005,Isle of Anglesey 005,3,Married: Same sex,10
82324,W02000005,Isle of Anglesey 005,4,In a registered civil partnership: Opposite sex,6
82325,W02000005,Isle of Anglesey 005,5,In a registered civil partnership: Same sex,9
82326,W02000005,Isle of Anglesey 005,6,"Separated, but still married",115
82327,W02000005,Isle of Anglesey 005,7,"Separated, but still in a registered civil partnership",0
82328,W02000005,Isle of Anglesey 005,8,Divorced,727
82329,W02000005,Isle of Anglesey 005,9,Formerly in a civil partnership now legally dissolved,0
82330,W02000005,Isle of Anglesey 005,10,Widowed,629
82331,W02000005,Isle of Anglesey 005,11,Surviving partner from civil partnership,4
82332,W02000006,Isle of Anglesey 006,-8,Does not apply,1465
82333,W02000006,Isle of Anglesey 006,1,Never married and never registered a civil partnership,2076
82334,W02000006,Isle of Anglesey 006,2,Married: Opposite sex,2377
82335,W02000006,Isle of Anglesey 006,3,Married: Same sex,1
82336,W02000006,Isle of Anglesey 006,4,In a registered civil partnership: Opposite sex,6
82337,W02000006,Isle of Anglesey 006,5,In a registered civil partnership: Same sex,4
82338,W02000006,Isle of Anglesey 006,6,"Separated, but still married",107
82339,W02000006,Isle of Anglesey 006,7,"Separated, but still in a registered civil partnership",0
82340,W02000006,Isle of Anglesey 006,8,Divorced,582
82341,W02000006,Isle of Anglesey 006,9,Formerly in a civil partnership now legally dissolved,0
82342,W02000006,Isle of Anglesey 006,10,Widowed,421
82343,W02000006,Isle of Anglesey 006,11,Surviving partner from civil partnership,1
82344,W02000007,Isle of Anglesey 007,-8,Does not apply,1288
82345,W02000007,Isle of Anglesey 007,1,Never married and never registered a civil partnership,1941
82346,W02000007,Isle of Anglesey 007,2,Married: Opposite sex,2523
82347,W02000007,Isle of Anglesey 007,3,Married: Same sex,20
82348,W02000007,Isle of Anglesey 007,4,In a registered civil partnership: Opposite sex,0
82349,W02000007,Isle of Anglesey 007,5,In a registered civil partnership: Same sex,8
82350,W02000007,Isle of Anglesey 007,6,"Separated, but still married",116
82351,W02000007,Isle of Anglesey 007,7,"Separated, but still in a registered civil partnership",0
82352,W02000007,Isle of Anglesey 007,8,Divorced,559
82353,W02000007,Isle of Anglesey 007,9,Formerly in a civil partnership now legally dissolved,1
82354,W02000007,Isle of Anglesey 007,10,Widowed,439
82355,W02000007,Isle of Anglesey 007,11,Surviving partner from civil partnership,0
82356,W02000008,Isle of Anglesey 008,-8,Does not apply,856
82357,W02000008,Isle of Anglesey 008,1,Never married and never registered a civil partnership,1655
82358,W02000008,Isle of Anglesey 008,2,Married: Opposite sex,2330
82359,W02000008,Isle of Anglesey 008,3,Married: Same sex,4
82360,W02000008,Isle of Anglesey 008,4,In a registered civil partnership: Opposite sex,6
82361,W02000008,Isle of Anglesey 008,5,In a registered civil partnership: Same sex,3
82362,W02000008,Isle of Anglesey 008,6,"Separated, but still married",69
82363,W02000008,Isle of Anglesey 008,7,"Separated, but still in a registered civil partnership",0
82364,W02000008,Isle of Anglesey 008,8,Divorced,514
82365,W02000008,Isle of Anglesey 008,9,Formerly in a civil partnership now legally dissolved,1
82366,W02000008,Isle of Anglesey 008,10,Widowed,513
82367,W02000008,Isle of Anglesey 008,11,Surviving partner from civil partnership,0
82368,W02000009,Isle of Anglesey 009,-8,Does not apply,1366
82369,W02000009,Isle of Anglesey 009,1,Never married and never registered a civil partnership,2143
82370,W02000009,Isle of Anglesey 009,2,Married: Opposite sex,3249
82371,W02000009,Isle of Anglesey 009,3,Married: Same sex,10
82372,W02000009,Isle of Anglesey 009,4,In a registered civil partnership: Opposite sex,0
82373,W02000009,Isle of Anglesey 009,5,In a registered civil partnership: Same sex,18
82374,W02000009,Isle of Anglesey 009,6,"Separated, but still married",96
82375,W02000009,Isle of Anglesey 009,7,"Separated, but still in a registered civil partnership",0
82376,W02000009,Isle of Anglesey 009,8,Divorced,646
82377,W02000009,Isle of Anglesey 009,9,Formerly in a civil partnership now legally dissolved,4
82378,W02000009,Isle of Anglesey 009,10,Widowed,500
82379,W02000009,Isle of Anglesey 009,11,Surviving partner from civil partnership,0
82380,W02000010,Gwynedd 001,-8,Does not apply,694
82381,W02000010,Gwynedd 001,1,Never married and never registered a civil partnership,6072
82382,W02000010,Gwynedd 001,2,Married: Opposite sex,1144
82383,W02000010,Gwynedd 001,3,Married: Same sex,8
82384,W02000010,Gwynedd 001,4,In a registered civil partnership: Opposite sex,8
82385,W02000010,Gwynedd 001,5,In a registered civil partnership: Same sex,2
82386,W02000010,Gwynedd 001,6,"Separated, but still married",69
82387,W02000010,Gwynedd 001,7,"Separated, but still in a registered civil partnership",1
82388,W02000010,Gwynedd 001,8,Divorced,387
82389,W02000010,Gwynedd 001,9,Formerly in a civil partnership now legally dissolved,0
82390,W02000010,Gwynedd 001,10,Widowed,232
82391,W02000010,Gwynedd 001,11,Surviving partner from civil partnership,0
82392,W02000011,Gwynedd 002,-8,Does not apply,1747
